package Sundance::rurban::2022; # -*- perl -*-
#!/usr/bin/perl
# Sundance 2022 Critics Ratings
# {'A+' => 10,  'A' => 9,   'A-' => 8,
#  'B+' => 7,   'B' => 6,   'B-' => 5,
#  'C+' => 4,   'C' => 3,   'C-' => 2,
#  'D+' => 1.5, 'D' => 1,   'D-' => 1,
#  'E+' => 0.5, 'E' => 0.5, 'E-' => 0.5,
#  'F+' => 0,   'F' => 0,   'F-' => 0};
# SLCWeekly: 0-4stars:
# 0.5 - 1.25, 1 - 2.5, 1.5 - 3.75, 2 -> 5, 2.5 - 6.25, 3 - 7.5, 3.5 - 8.75, 4 - 10

use utf8;
our $DATA= <<'EOF';

U.S. DRAMATIC COMPETITION

"892" (Abi Damaris Corbin) [U.S. Dramatic]
Peter Bradshaw    6    https://www.theguardian.com/film/2022/jan/21/892-review-john-boyega-holds-together-by-the-book-hostage-drama
Tim Grierson            https://www.screendaily.com/reviews/892-sundance-review/5166766.article
sarah_elmahmoud     8   https://letterboxd.com/sarah_elmahmoud/film/892/
Clay Youngblood     8
Raul Alejandro Mendoza Diaz 8   https://letterboxd.com/thenerdychicano/film/892/
justnatj            8   https://letterboxd.com/justnatj/film/892/
PrincessesPower     8
Chris Day           8
MrMusk              8   https://letterboxd.com/mrmusk/film/892/
EliC97              8
Gabe                8
Tre22               8   https://letterboxd.com/tre22/film/892/
jessalwaysright     8
Maggie Lovitt       8
ecoh                8
lunatimelady        8
Dubs                8
Matthew Oliva       8
Bernardo Cisneros   8
Ben Schell          8
dmartin124          8
Jason Tan Liwag     8
Alan French         8
Amy                 8
eritz               8
KMSChi              8
stonecoldkiefer     8
Tishon              8
Jim Eustice         8
Braxton Reed        8   https://letterboxd.com/chillareed/film/892/
leah                8
Tim Banach          8
lotsasheep          8   https://letterboxd.com/lotsasheep/film/892/
derek               8
Ryder Jiron         8
Jack Whitehurst     8
marnie              8
julia               8
Austin              8
Bree Soto           8
Keith Christen      8
Ryan Oliveira       8
Alex Liebensfeld    8
Tim Bieber          8
joeycelentano       8
ollyverthebro       8
masterofcinema      8
Dave Rhinna         7   https://letterboxd.com/metaldave815/film/892/
Sean Boelman        7   https://letterboxd.com/bigtunaonfilm/film/892/
Aaron Neuwirth      7
wmavity             7
WhimsyWizardess     7   https://letterboxd.com/whimsywizardess/film/892/
manda               7   https://letterboxd.com/amxndareviews/film/892/
Sara Clements       7   https://letterboxd.com/mildredsfierce/film/892/
willmoviefan97      7   https://letterboxd.com/willmoviefan97/film/892/
Jordan              7
jihane              7
Brad Gullickson     7   https://letterboxd.com/mouthdork/film/892/
Francis T.          7
Skyler Corman       7
Tom Grey            7
shrini              7
emmarobots          7
Mohamed Shama       7
dpsingle            7
madi                7   https://letterboxd.com/missmadi2015/film/892/
Nick_M              7
flamin_thothoe      7
thompsoncory        7
timmer              7
Kolby Mac           7
Jake                7
cbc435              7
soxrock3            7   https://letterboxd.com/soxrock3/film/892/
televin7            7
Ryan McQuade        7
Connor Carey        7   https://letterboxd.com/connorcarey/film/892/
CaryLittlejohn      7
Michelle Jaworski   7
Tucker Evans        7
Britt Withers       7
Matt Wigham         7
Scout_Gabriel       7
orangedroog         7
tishzka             7
Allie               7
Josh Lempert        7
Justin Turner       7
Ben                 7
Michael Leon        7
imnicklazo          7
mila                7
Karl                7
Brett_Bohan         7
andrew 🦇            7
nickj0423           7
tylersimon          7
Nautical_Puns       7
Pepe Ruiloba        7
Will Oliver         7
Tyler’s Wongs       7
Cristina            7
anduve              7
mira                7
TwoRivers           7
samhopko            7
Stef Yoo-Min Florakis  7
David Sims          7
Harris Mayersohn    7
Billy Orlando       7
Todd!               7
Megan Spell         7
Dan                 7
James Olson         7
Lou Thomas          7
Eric                7
Dylan Roth          7
Mylia               7
Jonny_G             7
Reed Belk           7
darthsquidius       7
Brayan de Jesús     7
SaranshGrover       7
Dan Braden          7   https://letterboxd.com/dbrad3n/film/892/
jake                7
humzaakbar          7
831FilmReviews      7
captainmelendez     7
Kelly Har           7
Brother Bro         7
ndegwa45            7
Jordan Foxworthy    7
Rodrigo Santos      7
Christoph Schelb    7
Doc Chillz          7   https://letterboxd.com/schildre/film/892/
Austin_N            7
Kaelan Maxfield     7
joshpat             7
Owen Condon         7
Taylor              7
Nick Moutsos        7
mrfdigsmovies       7
Zach Gilbert        7
maguhlicious        7
Evan Tallman        7   https://letterboxd.com/evantallman/film/892/
Serena              7   https://letterboxd.com/ohnonotyouagain/film/892/
skysky15            7
steiner8585         7
Charlie Michaels    7
Luke                7
reanna              7
becca               7
Robert Lee          7
Sam Baum            7
Daniel Hoag         7
emfeh               7
josh017             7
Brandon Gray        7
Luke D'Agnese       7
mnaifeh             7
Marshall            7
thecreatorleo       7
brikrejci           7
Tyler Tompkins      7   https://letterboxd.com/tylertompkins/film/892/
Justin Appell       7
rasbolomon          7   https://letterboxd.com/rasbolomon/film/892/
neekboyz            7   https://letterboxd.com/neekboyz/film/892/
Matt_M              7   https://letterboxd.com/punchbag/film/892/
Kevin L. Lee        7
jmoontz             7
bernardo            7
Ryan Barry          7
Corey Smith         7
Mike Webb           7
bmarine             7
rowierosen          7
Ker Malkin Gesulga  7
Matt Neglia         7
HomelessBob         7   https://letterboxd.com/homelessbob/film/892/
Daniel Martínez Mantilla 6
Shaun Munro         6   https://letterboxd.com/shaneo632/film/892/
Daniel_Hans         6   https://letterboxd.com/daniel_hans/film/892/
Seconds23           6
uy2021              6
Javier Chavez       6
Nichol Lovett       6
Jason Osia          6
nabeel              6
Matthew Passantino  6   https://letterboxd.com/mpassantino01/film/892/
J_W_M               6
Ben Rolph           6
chinemusic          6
Emilio M. Luna      6
vincenzotagle       6
Svetozar Lebedyev   6
akerms              6   https://letterboxd.com/akerms/film/892/
Jorge Villatoro     6
Eric D. Snider      6
westboys            6   https://letterboxd.com/westboys/film/892/
khal                6
Alex Williams       6   https://letterboxd.com/alexatthemov1es/film/892/
kjaustin            6
Luke Hicks          6
Atom                6   https://letterboxd.com/adamshafer/film/892/
Chico Fireman       6   https://letterboxd.com/chicofireman/film/892/
doubleuill          6
Cody Villafana      6
juliannaskl         6
Rob Bell            6
nexta               6
Dallas King         6
Justin              6
Brandon Fluhr       6
jarimar             6
Jeremy Crabb        6
Curt Wedin          6
Clark Kline         6
ajstellaa           6
Li Lai              6
Kenye               6
cat                 6
Lost In The Reel    6
realrockhudson      6
jhayLikesTv         6   https://letterboxd.com/jhaylikestv/film/892/
laurapotier         6
Frankie             6
markdilo            6
Brimmer-Beller      6
bort8               6
Emily Hennefer      6
eshain              6
Ethan Sapir         6
sara                6
JROur               6
Ksmith5500          6
arthurco            6   https://letterboxd.com/arthurco/film/892/
jing @ 🌞💃🏻          6
ElleDubbs           6   https://letterboxd.com/elledubbs/film/892/
Trey Wootton        6
Jenny Jecke         6
Christopher Kniep   6
Jake_J              6
kevinyang           6   https://letterboxd.com/kevinyang/film/892/
americansaiko       6
Graham Jones: Sundance Baby 6
johannesmehl        6
Gary                6
BloodyFootSex       6
Suskie              6
Daniel Crooke       6
Darrin Navarro      6
georgie             6
Benjamin Lee        6
Austin Wood         6
Zachary Culleton ☃️ 6   https://letterboxd.com/zculleton/film/892/
Shaun Louis         6
fehaberfeld         6
sarah-layne toni    6
CadeisCool69        6
Priyanka            6
Jake Alda Coffey    6
CalebWard           6
lsdwa               5
Stevie Wong         5   https://letterboxd.com/wongie/film/892/
Clint Worthington   5   https://letterboxd.com/clintworthing/film/892/
A.A. Dowd           5
Mario Alegre        5
Katie Carter        5   https://letterboxd.com/katiecarter/film/892/
jrusshall           5
street              5
Daniel Azbel        5
Jake4Prezident      5
Soham Gadre         5
John Leary          5
chaseabreez         5
Paul                5
thebestian          5
jcclementz          5
connor              5
iheartamyadams      5
Matthew Schwartz    5
ericcook            5
Adam Greiner        5   https://letterboxd.com/moviepolice/film/892/
Nick Hoffman        5
Eric Tuscanes       5
RyMG                5
Spencer Williams    5   https://letterboxd.com/spencerfreak/film/892/
Justin Booker       5
Josh                5
amesbakes           5
Rachel Wagner       5
Adrian Barber       4   https://letterboxd.com/boltonfilmfest/film/892/
Erik Childress      4
jos__               4
JacobStolworthy     4   https://letterboxd.com/jacobstolworthy/film/892/
HAM                 4
Trevor Paul         4
Brian Tallerico     4
Robert Daniels      4
thomascalhoon       4
Brit                4
Juanchi González    4   https://letterboxd.com/juanchi/film/892/
Price Garrison      4
ImmigrantFilm       3
akestner            3   https://letterboxd.com/akestner/film/892/
gonegirlvevo        1

"Alice" (Krystin Ver Linden) [U.S. Dramatic]
#letterboxd
joyboy09            10
ajstellaa           7
Brittany            6
oscalito            5   https://letterboxd.com/oscalito/film/alice-2022/
filmvixen           5

"Blood" (Bradley Rust Gray) [U.S. Dramatic]
#letterboxd
Rob                 7

"Cha Cha Real Smooth" (Cooper Raiff) [U.S. Dramatic]
#letterboxd
humzaakbar          9
Black Toad          9   https://letterboxd.com/blacktoad2002/film/cha-cha-real-smooth/
stone1999           8
map9189             8
Ty _Newsock_        1   https://letterboxd.com/newsock/film/cha-cha-real-smooth/
#gregarch            10
#filmspace           10   https://letterboxd.com/filmspace/film/cha-cha-real-smooth/

"Dual" (Riley Stearns) [U.S. Dramatic]
#letterboxd
HiSilas             10   https://letterboxd.com/silas1645/film/dual-2022/
handsome_pal        10   https://letterboxd.com/thomgrab/film/dual-2022/
cameron             10   https://letterboxd.com/cameronh2o/film/dual-2022/
Mo Shafeek          9   https://letterboxd.com/moshafeek/film/dual-2022/
Josh @ The Movies   8
Jett Steiger        8
Juan                7
mantrae             7
Jerichoholic        7
Edward              6
Marco Cerritos      6
Clint Worthington   6
Bob_K               5   https://letterboxd.com/hamletseries/film/dual-2022/
amesbakes           3

"Emergency" (Carey Williams) [U.S. Dramatic]
Tim Grierson            https://www.screendaily.com/reviews/emergency-sundance-review/5166702.article
Siddhant Adlakha    B+   https://www.indiewire.com/2022/01/emergency-review-carey-williams-1234692180/
Adrian Horton     8    https://www.theguardian.com/film/2022/jan/20/emergency-review-endearing-yet-stressful-contemporary-campus-caper
Jake Kring-Schreifels B  https://thefilmstage.com/sundance-review-in-emergency-the-college-comedy-gains-a-new-perspective/
Owen Gleiberman         https://variety.com/2022/film/reviews/emergency-review-sundance-film-festival-1235158883/
#letterboxd
monica              10   https://letterboxd.com/instantlove/film/emergency-2022/
Whitney             10
lucyhg              10
Jess                10
Kaitlyn             10   https://letterboxd.com/kaitlynvfd/film/emergency-2022/
Kristen Maldonado   10
guyatthemovies      10   https://letterboxd.com/guyatthemovies/film/emergency-2022/
andrea              10
madibrinq           10
oliviahefner        10
brycedylan          10   https://letterboxd.com/brycedylan/film/emergency-2022/
Arturo Magaña       10
davidiserson        10
lunatimelady        10
Tyler Cobaugh       10   https://letterboxd.com/thisis2point0/film/emergency-2022/
mouniema            10
Terry Mullany       10
maklambertt         10
hazelll_            10
lilcultdancer       10
JohnnicaZakeyta     10
Cary_D              10
alexanderibarra     10
Jack Whitehurst     10
josefa              10
steph <3            10
Tristen             10
Kindred Michael     10
Smoores2000         10
Joey Gentile        10
caro_movie1         10
caseyhodgkinson     10
KMSChi              10
mads                10
ʕ￫ᴥ￩ʔ               10
Allison             9   https://letterboxd.com/allisonthompson/film/emergency-2022/
Rodney Piatt        9
jrusshall           9
moregon             9
Nine                9
tylerfeldhege       9
chlokg              9
Luta                9   https://letterboxd.com/lutayoung/film/emergency-2022/
ruth                9   https://letterboxd.com/ruthanne/film/emergency-2022/
Boring Cinema Video 9   https://letterboxd.com/bc_video/film/emergency-2022/
Harris Dang         9   https://letterboxd.com/filmmomatic/film/emergency-2022/
bababoui            9
DrMovieDude         9
LauraFH             9
Mike P. Lewis       9   https://letterboxd.com/mlewis/film/emergency-2022/
lara                9   https://letterboxd.com/luhra/film/emergency-2022/
jmartin11           9
thecreatorleo       9   https://letterboxd.com/justamoviedude1/film/emergency-2022/
fisherking111       9   https://letterboxd.com/fisherking111/film/emergency-2022/
scollins37          9   https://letterboxd.com/scollins37/film/emergency-2022/
Luke                9   https://letterboxd.com/notadiscoball/film/emergency-2022/
Bailey Pennick      9
jeremat             9
megan               9
sara                9
pausethefilmpau     9
Kody_H              9
Josh Myers          9
jackiepriola13      9
Cameron Hennings    9
Nicole              9
Nick Hernandez      9
Joey                9
melmacneil          9
Daniel Azbel        9
David Cavazos       9
Nate                9
Allison Skinner     9
Kaelan Maxfield     9
Xander Struntz      9
Caleb Orcutt        9
jmatsen             9
Justin              9
Brian Mitchell      9
harper graham       9
ollyverthebro       9
tori mcjunkin       9
chloe               9
Faris Najjar        9
TheUpsideDan        8   https://letterboxd.com/theupsidedan93/film/emergency-2022/
Mtaber37            8
Jacob               8   https://letterboxd.com/tberry57/film/emergency-2022/
GramCam             8
Solana              8   https://letterboxd.com/solanadelrey/film/emergency-2022/
Andrew Phan         8
weitu               8
monica              8   https://letterboxd.com/instantlove/film/emergency-2022/
Jim Eustice         8
Ploy Sulita         8
Keith Noakes        8
Jordan Gracey       8   https://letterboxd.com/jordangracey/film/emergency-2022/
Ewan Graf           8
Joshua              8   https://letterboxd.com/joshuaryancole/film/emergency-2022/
loquaciousmuse      8
CoreyBaker          8
jdjones123          8
Claire Haley        8   https://letterboxd.com/catweazle/film/emergency-2022/
nucar               8
mattphelps          8
Nathawat Bun-art    8
eve                 8
tjnoelsullivan      8
Howard Spierer      8   https://letterboxd.com/howardspierer/film/emergency-2022/
Jakhi               8
emmarobots          8
Mohamed Shama       8
sasa                8
Cade White          8
Orlan Harris        8   https://letterboxd.com/loud7cinema/film/emergency-2022/
Christopher Maynard 8   https://letterboxd.com/followingfilms/film/emergency-2022/
jake                8
Dan Tabor           8   https://letterboxd.com/danthefan/film/emergency-2022/
robc3366            8
Jael                8
Brimmer-Beller      8
Johnogunz           8
Jordan              8
glenneatspears      8
Courtney Small      8
vshefali            8   https://letterboxd.com/vshefali/film/emergency-2022/
Javin               8
Anna                8   https://letterboxd.com/annamill13/film/emergency-2022/
sydneymonacelli     8
Sephira             8   https://letterboxd.com/sephira/film/emergency-2022/
dee187              8
pattp               8
Rachel              8
Ashim               8
coreyshain          8   https://letterboxd.com/coreyshain/film/emergency-2022/
andrew 🦇            8
Eric Kuiper         8
cris🧃 @ sundance ‘22 8
Colin Martinez      8   https://letterboxd.com/realcolinm/film/emergency-2022/
darthduas           8
Robertocpg          8   https://letterboxd.com/robertocpg/film/emergency-2022/
maxkostakis         8
adamsoll            8
MacDoesIt           8
Andrew Jupin        8   https://letterboxd.com/jupinwhm/film/emergency-2022/
MartinezGunner      8   https://letterboxd.com/martinezgunner/film/emergency-2022/
oakdb11             8
Christopher Haskell 8   https://letterboxd.com/haskellch/film/emergency-2022/
bryanmackenzie      8
Connor Rush         8   https://letterboxd.com/connorrush/film/emergency-2022/
ramsey              8   https://letterboxd.com/emiiystones/film/emergency-2022/
katie janx          8
Zachary Culleton ☃️ 8   https://letterboxd.com/zculleton/film/emergency-2022/
Rachel Lovinger     8
JGrobby             8
lauren              8
westboys            8
Katronious          8
Rachel Wagner       8
thebronjamed        8
Dustin Mason        8
Bob Davidson        8   https://letterboxd.com/bobdavidson/film/emergency-2022/
Benjamin Leonard    8
Chant               8
Emily Hennefer      8   https://letterboxd.com/memilyd/film/emergency-2022/
hgcar02             8
Mike Hassler        8
kate                8
Judd Falcone        8
Masood              8
Trunnie 🔜 Sundance  8
sammyswoosh7        8
Matt Reid           8
Austin_N            8
anthonypapetti      8
8123movies          8
Pramit              8
Dyl                 8
Eric                8
Megan               8
1001 FILMS          8
George              8
Bean                8
Allison Grace       8
humzaakbar          8
marykaatee          8
chrisgonzo          8
Simon Gaines        8
Poppy Rose          8
WileyOFC            8
JROur               8
Matt Oakes          8
Jeremy Aguilera-Gaudette 8
Hailey Leonard      8
Doug Dickinson      8
ElPatel             8
sophieserage        8
Cat_B               8
Nick_H              8
Kennedy             8
Joshua Crowder      8
JakobKolness        8
Kevin L. Lee        8
Andrew              8
RAMsmrphy           8
TrentReviews        8
Tanner Santo        8
rodrigo_paramo      8
Adarsh Tummala      8
Kevin Wozniak       8
David Sullivan      8
Adam Quinn          8   https://letterboxd.com/ant_quinn/film/emergency-2022/
Jason O’Rear        7   https://letterboxd.com/jason_orear/film/emergency-2022/
Katrina Kiefer      7
Patrick Finley      7
ChrisFHD            7   https://letterboxd.com/chrisfhd/film/emergency-2022/
Daniel Crooke       7   https://letterboxd.com/danielcrooke/film/emergency-2022/
Graham Jones: Sundance Baby 7   https://letterboxd.com/grahamjones8/film/emergency-2022/
Connor Carey        7   https://letterboxd.com/connorcarey/film/emergency-2022/
CannibalTriangl     7
Pepe Ruiloba        7   https://letterboxd.com/peperuiloba/film/emergency-2022/
Zach Pope           7   https://letterboxd.com/zachpopereviews/film/emergency-2022/
Sean Hillary        7   https://letterboxd.com/seanmovieman/film/emergency-2022/
HAM                 7
uy2021              7
Lately              7   https://letterboxd.com/lately/film/emergency-2022/
NoOneThereSir       7
Daniel Hoag         7
Christopher Cross   7   https://letterboxd.com/hammerkop/film/emergency-2022/
MacDeMarcosDick     7   https://letterboxd.com/macdemarcosdick/film/emergency-2022/
Daniel Martínez Mantilla 7
Cecilia Barroso     7
David Jaffe         7   https://letterboxd.com/david_jaffe/film/emergency-2022/
maragibson          7
Adrian Barber       7   https://letterboxd.com/boltonfilmfest/film/emergency-2022/
Austen Heldoorn     7
Shikhar Verma       7   https://letterboxd.com/shikhar29/film/emergency-2022/
Li Lai              7
Mario Alegre        7
heyitsaj            7
Aaron Neuwirth      7
Chris Feil          7   https://letterboxd.com/chrisvfeil/film/emergency-2022/
Tessa Smith         7   https://letterboxd.com/mamasgeeky/film/emergency-2022/
Alexander22         7
Tyler               7   https://letterboxd.com/tylerthegoose/film/emergency-2022/
Alex Billington     7   https://letterboxd.com/firstshowing/film/emergency-2022/
benjanes            7   https://letterboxd.com/benjanes/film/emergency-2022/
Cam McAllister      7   https://letterboxd.com/camhmc/film/emergency-2022/
Trey Wootton        7
Zach Gilbert        7   https://letterboxd.com/zachbgilbert/film/emergency-2022/
Karl Delossantos    7
Lex Forge           7
Austin Culp         7
tishzka             7
John Tawasil        7
Jason Tan Liwag     7   https://letterboxd.com/jasontanliwag/film/emergency-2022/
Kolby Mac           7
Fico Cangiano       7
Rob Hunter          7
Nesssss             7
VictorStiff         7
Oliver Matheson     7
brontos_r_us        7
JulesPosada         7   https://letterboxd.com/julesposada/film/emergency-2022/
Jacob Mauceri       7   https://letterboxd.com/mauceri/film/emergency-2022/
JasonMichael        7   https://letterboxd.com/jasonmichael/film/emergency-2022/
Jed Wagman          7   https://letterboxd.com/filmaddict123/film/emergency-2022/
Tom Grey            7
Stevie Wong         7
rbasmayor           7
ana                 7
Chris_C             7
bluejayn            7
Matt Neglia         7
Sarah Evans         7   https://letterboxd.com/sarahpalin666/film/emergency-2022/
Chris Roberts       7   https://letterboxd.com/tsasa198/film/emergency-2022/
bernardo            7   https://letterboxd.com/vigosete/film/emergency-2022/
imnicklazo          7
831FilmReviews      7
Robert Daniels      7   https://letterboxd.com/812filmreviews/film/emergency-2022/
Clark Kline         7
AmandaTheJedi       7
A.A. Dowd           7
Michael Leon        7
theansvan           7   https://letterboxd.com/theansvan/film/emergency-2022/
Sara Clements       7   https://letterboxd.com/mildredsfierce/film/emergency-2022/
Dylan Hoang         7
kjaustin            7
Caleb               7   https://letterboxd.com/calebh92/film/emergency-2022/
Justin Nordell      7
gabi                7
autumn54            7   https://letterboxd.com/autumn54/film/emergency-2022/
zoelevine           7
Wyatt Bumbarger     7
Michael Switzer     7
Adelyn              7
Carson Timar        7
Zach Shevich        7   https://letterboxd.com/zshevich/film/emergency-2022/
Caitlin Dubs        7
Ryan McQuade        7
Shashwat            7   https://letterboxd.com/coffeebag569/film/emergency-2022/
Ian Wilder          7
Courtney Wightman   7
Travis Burgess      7
Colin White         7
Cinema_Gallery      7   https://letterboxd.com/cinema_gallery/film/emergency-2022/
Josh                7   https://letterboxd.com/jyounge28/film/emergency-2022/
Matthew Oliva       7
Mike Costa          7
Reed Belk           7
Nick Palley         7
rdata               7
Paris Nguyen        7
Amanda Berke        7
ZacharyBinx         7
GabyCristina        7
lissa               7
Vermont             7
krosem              7
Marta Reeder        7
adam gilmour        7
Lindsey Hill        7
Matt_T              7
Aidan Kwasneski     7
expectations        7
McKenna Nalow       7
J_W_M               7
Diana               7
thomaspercykim      7
Carly Hicks         7
elmorales           7
Ema Sasic           7
Alicia Haddick      7
Tyler Walczak       7
thompsoncory        7
dos_dedos           7
Christoph Schelb    7
NerdSoupAaron       7
Caedmon Fair        7
Megan Spell         7
russbuss1           7
rowierosen          7
Houston Murphy      7
RyMG                7
Brianna Marie       7
Austin              7
Dani                7
Sam                 7
eritz               7
Connor_B            7
zach                7
It’s given to me by me 7
Devon Matthias      6   https://letterboxd.com/devzb/film/emergency-2022/
TheMummy1999Fan     6   https://letterboxd.com/themummy1999fan/film/emergency-2022/
Marco Cerritos      6
GabeLapa            6
jaron_lanier123     6
Mike Webb           6
Alejandro D. Orengo Colón 6   https://letterboxd.com/alexorengo/film/emergency-2022/
ariana              6
Tabidicus           6   https://letterboxd.com/tabidicus/film/emergency-2022/
Kenny               6
Andrew Dignan       6   https://letterboxd.com/andrewdignan/film/emergency-2022/
katie               6   https://letterboxd.com/realkatieholmes/film/emergency-2022/
mlewis330           6
Sam Seagroves       6   https://letterboxd.com/phish671/film/emergency-2022/
crloth              6
Eric D. Snider      6
Paul Lê             6
Britt Withers       6
Nataliai            6
babyannette         6
JacobStolworthy     6
Brit                6
Cbloom              6
Logan Shillinglaw IV 6   https://letterboxd.com/loganiv/film/emergency-2022/
stevie              6
ImmigrantFilm       6   https://letterboxd.com/immigrantfilm/film/emergency-2022/
Shaun Louis         6
BrighamTaylor       6
jihane              6
nabeel              6
Corey Smith         6
kris_harrison       6
rdrobb              6
Nate Adams          6   https://letterboxd.com/theonlycritic/film/emergency-2022/
owen                6
Jordan Raup         6
Andrew Bundy        6
charlie             6
Gary                6   https://letterboxd.com/gdgarla/film/emergency-2022/
Bryce Marrero       6   https://letterboxd.com/bushido_bryce/film/emergency-2022/
Eren Odabasi        6
Seb Evans           6   https://letterboxd.com/sebevs/film/emergency-2022/
senlorandir         6
TheNateflix         6
Amelia              6
Josh Wilhelm        6
Taylor              6
Adam Lubitow        6
ovomarco            6
Cailin Yatsko       6
eldorado26          6
Sean Burns          6
laylamarie          6
ElleDubbs           6
Jim P.              6
Evan Kraft          6
Aidan               6
mjfilms             6
René Sánchez        6
noah15sanchez       6
Sean Blanford       6
DaveMizsak          6
Alexa               6
Adam.               6
Elizabeth Kasumi    6
mcmeinecke          6
will bjarnar        6
Nick_M              6
<Todd>              6
Morgan              6
Keegan Hewlett      6
AGG                 6
Brian Tallerico     6
juneauq5590         6
Reyzando Nawara     6
Tyler Tompkins      6
Chris Aguilar       6
Kline               5
Adam Greiner        5
Yortj               5
Moran               5
Tim                 5
rachael ogilvie     5
Jamie               5
Brian Skutle        5
ahmassaro           5
Quark Henares       5   https://letterboxd.com/quark/film/emergency-2022/
MicsFlicks          5   https://letterboxd.com/micsflicks/film/emergency-2022/
12345abab           5
Josh Lempert        5   https://letterboxd.com/joshlempert/film/emergency-2022/
VadimBogdanov       5   https://letterboxd.com/vadimbogdanov/film/emergency-2022/
cooperroth          5   https://letterboxd.com/cooperroth/film/emergency-2022/
Jen                 5
CLOCKWORKalpaca     5
inoohu              5   https://letterboxd.com/inoohu/film/emergency-2022/
Nautical_Puns       5
Matt_M              5   https://letterboxd.com/punchbag/film/emergency-2022/
Sean Boelman        5
elblonded           5
Josh                5   https://letterboxd.com/jyounge28/film/emergency-2022/
xgrubbyx            5
lilylabovitz        5
margot              5
edouard             5
americajohnline     5
rey1294             4   https://letterboxd.com/rey1294/film/emergency-2022/
winch               4
Jeremy Heilman      4   https://letterboxd.com/jeremyheilman/film/emergency-2022/
David Ehrlich       4
kylepsmith          4
Alex Williams       4   https://letterboxd.com/alexatthemov1es/film/emergency-2022/
yogieburr           4
bort8               4
kerem_akca          4
alex                4
Josh @ The Movies   4
